variety_name
agiorgitiko
aglianico
albarino
alicante bouschet
alvarinho
arinto
arneis
assyrtiko
barbera
blaufrankish
blend
cabernet franc
cabernet sauvignon
carignan
carricante
catarrato
cava blend
cdr red blend
central italian rose
champagne blend
chardonnay
chenin blanc
cinsault
cortese
corvina blend
cotes du rhone rose blend
dolcetto
etna bianco blend
falanghina
fiano
frappato
freisa
friulano
gaglioppo
gamay
garganega
georgian orange blend
gewurztraminer
glera
greco
grenache
grillo
gruner veltliner
italian orange variety
jura red blend
lagrein
lambrusco blend
bordeaux left blend
bordeaux right blend
macabao
malagousia
malbec
malvasia
marsanne
mataro
melon B
merlot
meunier
montepulciano
mouvedre
muscat
nebbiolo
negroamaro
nerello mascalese
nero d'avola
north italian rose
pinot grigio
pinot gris
pinot noir
pinotage
port blend
portuguese fortified blend
portuguese red blend
primitivo
provence red blend
refosco
rhone red blend
ribolla gialla
riesling
rose pet nat blend
roussanne
sangiovese
sauvignon blanc
savagnin
semillon
south italian rose blend
syrah
tempranillo
teroldego
timorasso
trebbiano
trousseau
verdhelo
vermintino
vin constance
vinho verde blend
viognier
white pet nat blend
xinomavro
zibbibo
