cat_name
aromatic white
beaujolais
burgundy red
cabernets
central italy red
chardonnay and friends
chilled red
dessert
fortified
grenache and friends
other red
iberia red
italian white
loire red
north italy red
orange
pet-nat
new world pinot noir
sparkling
rose
shiraz/syrah
south italy red
